"pwsid","year","unemploy_rate"
"CA0310001",1992,9.15
"CA0310001",1994,8.13
"CA0310001",1996,6.75
"CA0310001",1998,5.49
"CA0310001",2000,5.2
"CA0310001",2002,5.72
"CA0310001",2004,5.76
"CA0310001",2006,5.34
"CA0310001",2008,7.69
"CA0310001",2010,14.06
"CA0310001",2012,12.26
"CA0310001",2014,8.3
"CA0310001",2016,5.95
"CA0310001",2018,4.1
"CA0310001",2020,8.44
"CA0310001",2021,7.68
"CA0310002",1990,5.19
"CA0310002",1992,9.15
"CA0310002",1994,8.13
"CA0310002",1996,6.75
"CA0310002",1998,5.49
"CA0310002",2000,5.2
"CA0310002",2002,5.72
"CA0310002",2004,5.76
"CA0310002",2006,5.34
"CA0310002",2008,7.69
"CA0310002",2010,14.06
"CA0310002",2012,12.26
"CA0310002",2014,8.3
"CA0310002",2016,5.95
"CA0310002",2018,4.1
"CA0310002",2020,8.44
"CA0310002",2021,7.68
"CA0310003",1990,5.19
"CA0310003",1992,9.15
"CA0310003",1994,8.13
"CA0310003",1996,6.75
"CA0310003",1998,5.49
"CA0310003",2000,5.2
"CA0310003",2002,5.72
"CA0310003",2004,5.76
"CA0310003",2006,5.34
"CA0310003",2008,7.69
"CA0310003",2010,14.06
"CA0310003",2012,12.26
"CA0310003",2014,8.3
"CA0310003",2016,5.95
"CA0310003",2018,4.1
"CA0310003",2020,8.44
"CA0310003",2021,7.68
"CA0310005",1990,5.19
"CA0310005",1992,9.15
"CA0310005",1994,8.13
"CA0310005",1996,6.75
"CA0310005",1998,5.49
"CA0310005",2000,5.2
"CA0310005",2002,5.72
"CA0310005",2004,5.76
"CA0310005",2006,5.34
"CA0310005",2008,7.69
"CA0310005",2010,14.06
"CA0310005",2012,12.26
"CA0310005",2014,8.3
"CA0310005",2016,5.95
"CA0310005",2018,4.1
"CA0310005",2020,8.44
"CA0310005",2021,7.68
"CA0310006",1990,5.19
"CA0310006",1992,9.15
"CA0310006",1994,8.13
"CA0310006",1996,6.75
"CA0310006",1998,5.49
"CA0310006",2000,5.2
"CA0310006",2002,5.72
"CA0310006",2004,5.76
"CA0310006",2006,5.34
"CA0310006",2008,7.69
"CA0310006",2010,14.06
"CA0310006",2012,12.26
"CA0310006",2014,8.3
"CA0310006",2016,5.95
"CA0310006",2018,4.1
"CA0310006",2020,8.44
"CA0310006",2021,7.68
"CA0310012",1990,5.19
"CA0310012",1992,9.15
"CA0310012",1994,8.13
"CA0310012",1996,6.75
"CA0310012",1998,5.49
"CA0310012",2000,5.2
"CA0310012",2002,5.72
"CA0310012",2004,5.76
"CA0310012",2006,5.34
"CA0310012",2008,7.69
"CA0310012",2010,14.06
"CA0310012",2012,12.26
"CA0310012",2014,8.3
"CA0310012",2016,5.95
"CA0310012",2018,4.1
"CA0310012",2020,8.44
"CA0310012",2021,7.68
"CA0310019",1990,5.19
"CA0310019",1992,9.15
"CA0310019",1994,8.13
"CA0310019",1996,6.75
"CA0310019",1998,5.49
"CA0310019",2000,5.2
"CA0310019",2002,5.72
"CA0310019",2004,5.76
"CA0310019",2006,5.34
"CA0310019",2008,7.69
"CA0310019",2010,14.06
"CA0310019",2012,12.26
"CA0310019",2014,8.3
"CA0310019",2016,5.95
"CA0310019",2018,4.1
"CA0310019",2020,8.44
"CA0310019",2021,7.68
"CA0310021",1990,5.19
"CA0310021",1992,9.15
"CA0310021",1994,8.13
"CA0310021",1996,6.75
"CA0310021",1998,5.49
"CA0310021",2000,5.2
"CA0310021",2002,5.72
"CA0310021",2004,5.76
"CA0310021",2006,5.34
"CA0310021",2008,7.69
"CA0310021",2010,14.06
"CA0310021",2012,12.26
"CA0310021",2014,8.3
"CA0310021",2016,5.95
"CA0310021",2018,4.1
"CA0310021",2020,8.44
"CA0310021",2021,7.68
"CA0405001",1990,8.42
"CA0405001",1992,11.77
"CA0405001",1994,10.27
"CA0405001",1996,9.07
"CA0405001",1998,8.34
"CA0405001",2000,6.22
"CA0405001",2002,7.34
"CA0405001",2004,7.35
"CA0405001",2006,6.21
"CA0405001",2008,8.46
"CA0405001",2010,13.89
"CA0405001",2012,12.15
"CA0405001",2014,8.64
"CA0405001",2016,6.61
"CA0405001",2018,5.08
"CA0405001",2020,8.35
"CA0405001",2021,7.64
"CA0410001",1990,8.42
"CA0410001",1992,11.77
"CA0410001",1994,10.27
"CA0410001",1996,9.07
"CA0410001",1998,8.34
"CA0410001",2000,6.22
"CA0410001",2002,7.34
"CA0410001",2004,7.35
"CA0410001",2006,6.21
"CA0410001",2008,8.46
"CA0410001",2010,13.89
"CA0410001",2012,12.15
"CA0410001",2014,8.64
"CA0410001",2016,6.61
"CA0410001",2018,5.08
"CA0410001",2020,8.35
"CA0410001",2021,7.64
"CA0410002",1990,8.93
"CA0410002",1992,12.64
"CA0410002",1994,10.97
"CA0410002",1996,9.82
"CA0410002",1998,8.9
"CA0410002",2000,6.46
"CA0410002",2002,7.57
"CA0410002",2004,7.56
"CA0410002",2006,6.4
"CA0410002",2008,8.68
"CA0410002",2010,14.06
"CA0410002",2012,12.39
"CA0410002",2014,8.87
"CA0410002",2016,6.8
"CA0410002",2018,5.25
"CA0410002",2020,8.27
"CA0410002",2021,7.63
"CA0410005",1990,8.42
"CA0410005",1992,11.77
"CA0410005",1994,10.27
"CA0410005",1996,9.07
"CA0410005",1998,8.34
"CA0410005",2000,6.22
"CA0410005",2002,7.34
"CA0410005",2004,7.35
"CA0410005",2006,6.21
"CA0410005",2008,8.46
"CA0410005",2010,13.89
"CA0410005",2012,12.15
"CA0410005",2014,8.64
"CA0410005",2016,6.61
"CA0410005",2018,5.08
"CA0410005",2020,8.35
"CA0410005",2021,7.64
"CA0410007",1990,8.42
"CA0410007",1992,11.77
"CA0410007",1994,10.27
"CA0410007",1996,9.07
"CA0410007",1998,8.34
"CA0410007",2000,6.22
"CA0410007",2002,7.34
"CA0410007",2004,7.35
"CA0410007",2006,6.21
"CA0410007",2008,8.46
"CA0410007",2010,13.89
"CA0410007",2012,12.15
"CA0410007",2014,8.64
"CA0410007",2016,6.61
"CA0410007",2018,5.08
"CA0410007",2020,8.35
"CA0410007",2021,7.64
"CA0410009",1990,8.42
"CA0410009",1992,11.77
"CA0410009",1994,10.27
"CA0410009",1996,9.07
"CA0410009",1998,8.34
"CA0410009",2000,6.22
"CA0410009",2002,7.34
"CA0410009",2004,7.35
"CA0410009",2006,6.21
"CA0410009",2008,8.46
"CA0410009",2010,13.89
"CA0410009",2012,12.15
"CA0410009",2014,8.64
"CA0410009",2016,6.61
"CA0410009",2018,5.08
"CA0410009",2020,8.35
"CA0410009",2021,7.64
"CA0410011",1990,8.42
"CA0410011",1992,11.77
"CA0410011",1994,10.27
"CA0410011",1996,9.07
"CA0410011",1998,8.34
"CA0410011",2000,6.22
"CA0410011",2002,7.34
"CA0410011",2004,7.35
"CA0410011",2006,6.21
"CA0410011",2008,8.46
"CA0410011",2010,13.89
"CA0410011",2012,12.15
"CA0410011",2014,8.64
"CA0410011",2016,6.61
"CA0410011",2018,5.08
"CA0410011",2020,8.35
"CA0410011",2021,7.64
"CA0510001",1990,6.82
"CA0510001",1992,11.94
"CA0510001",1994,11.19
"CA0510001",1996,9.31
"CA0510001",1998,8.83
"CA0510001",2000,5.58
"CA0510001",2002,6.45
"CA0510001",2004,6.76
"CA0510001",2006,5.86
"CA0510001",2008,8.68
"CA0510001",2010,14.44
"CA0510001",2012,12.36
"CA0510001",2014,7.99
"CA0510001",2016,5.67
"CA0510001",2018,4.05
"CA0510001",2020,7.18
"CA0510001",2021,6.5
"CA0510002",1990,6.07
"CA0510002",1992,10.66
"CA0510002",1994,9.77
"CA0510002",1996,8.07
"CA0510002",1998,7.21
"CA0510002",2000,5.41
"CA0510002",2002,6.12
"CA0510002",2004,6.3
"CA0510002",2006,5.62
"CA0510002",2008,8.22
"CA0510002",2010,14.28
"CA0510002",2012,12.32
"CA0510002",2014,8.12
"CA0510002",2016,5.78
"CA0510002",2018,4.07
"CA0510002",2020,7.7
"CA0510002",2021,6.98
"CA0510003",1990,6.82
"CA0510003",1992,11.94
"CA0510003",1994,11.19
"CA0510003",1996,9.31
"CA0510003",1998,8.83
"CA0510003",2000,5.58
"CA0510003",2002,6.45
"CA0510003",2004,6.76
"CA0510003",2006,5.86
"CA0510003",2008,8.68
"CA0510003",2010,14.44
"CA0510003",2012,12.36
"CA0510003",2014,7.99
"CA0510003",2016,5.67
"CA0510003",2018,4.05
"CA0510003",2020,7.18
"CA0510003",2021,6.5
"CA0510004",1990,6.82
"CA0510004",1992,11.94
"CA0510004",1994,11.19
"CA0510004",1996,9.31
"CA0510004",1998,8.83
"CA0510004",2000,5.58
"CA0510004",2002,6.45
"CA0510004",2004,6.76
"CA0510004",2006,5.86
"CA0510004",2008,8.68
"CA0510004",2010,14.44
"CA0510004",2012,12.36
"CA0510004",2014,7.99
"CA0510004",2016,5.67
"CA0510004",2018,4.05
"CA0510004",2020,7.18
"CA0510004",2021,6.5
"CA0510006",1990,6.82
"CA0510006",1992,11.94
"CA0510006",1994,11.19
"CA0510006",1996,9.31
"CA0510006",1998,8.83
"CA0510006",2000,5.58
"CA0510006",2002,6.45
"CA0510006",2004,6.76
"CA0510006",2006,5.86
"CA0510006",2008,8.68
"CA0510006",2010,14.44
"CA0510006",2012,12.36
"CA0510006",2014,7.99
"CA0510006",2016,5.67
"CA0510006",2018,4.05
"CA0510006",2020,7.18
"CA0510006",2021,6.5
"CA0510009",1990,6.82
"CA0510009",1992,11.94
"CA0510009",1994,11.19
"CA0510009",1996,9.31
"CA0510009",1998,8.83
"CA0510009",2000,5.58
"CA0510009",2002,6.45
"CA0510009",2004,6.76
"CA0510009",2006,5.86
"CA0510009",2008,8.68
"CA0510009",2010,14.44
"CA0510009",2012,12.36
"CA0510009",2014,7.99
"CA0510009",2016,5.67
"CA0510009",2018,4.05
"CA0510009",2020,7.18
"CA0510009",2021,6.5
"CA0510010",1990,6.82
"CA0510010",1992,11.94
"CA0510010",1994,11.19
"CA0510010",1996,9.31
"CA0510010",1998,8.83
"CA0510010",2000,5.58
"CA0510010",2002,6.45
"CA0510010",2004,6.76
"CA0510010",2006,5.86
"CA0510010",2008,8.68
"CA0510010",2010,14.44
"CA0510010",2012,12.36
"CA0510010",2014,7.99
"CA0510010",2016,5.67
"CA0510010",2018,4.05
"CA0510010",2020,7.18
"CA0510010",2021,6.5
"CA0510016",1990,6.82
"CA0510016",1992,11.94
"CA0510016",1994,11.19
"CA0510016",1996,9.31
"CA0510016",1998,8.83
"CA0510016",2000,5.58
"CA0510016",2002,6.45
"CA0510016",2004,6.76
"CA0510016",2006,5.86
"CA0510016",2008,8.68
"CA0510016",2010,14.44
"CA0510016",2012,12.36
"CA0510016",2014,7.99
"CA0510016",2016,5.67
"CA0510016",2018,4.05
"CA0510016",2020,7.18
"CA0510016",2021,6.5
"CA0510017",1990,6.82
"CA0510017",1992,11.94
"CA0510017",1994,11.19
"CA0510017",1996,9.31
"CA0510017",1998,8.83
"CA0510017",2000,5.58
"CA0510017",2002,6.45
"CA0510017",2004,6.76
"CA0510017",2006,5.86
"CA0510017",2008,8.68
"CA0510017",2010,14.44
"CA0510017",2012,12.36
"CA0510017",2014,7.99
"CA0510017",2016,5.67
"CA0510017",2018,4.05
"CA0510017",2020,7.18
"CA0510017",2021,6.5
"CA0610003",1990,14.29
"CA0610003",1992,21.5
"CA0610003",1994,18.98
"CA0610003",1996,19.84
"CA0610003",1998,20.12
"CA0610003",2000,11.58
"CA0610003",2002,13.75
"CA0610003",2004,13.63
"CA0610003",2006,12.24
"CA0610003",2008,13.84
"CA0610003",2010,20.84
"CA0610003",2012,20.73
"CA0610003",2014,17.37
"CA0610003",2016,15.56
"CA0610003",2018,13.26
"CA0610003",2020,16.81
"CA0610003",2021,15.24
"CA0610004",1990,14.29
"CA0610004",1992,21.5
"CA0610004",1994,18.98
"CA0610004",1996,19.84
"CA0610004",1998,20.12
"CA0610004",2000,11.58
"CA0610004",2002,13.75
"CA0610004",2004,13.63
"CA0610004",2006,12.24
"CA0610004",2008,13.84
"CA0610004",2010,20.84
"CA0610004",2012,20.73
"CA0610004",2014,17.37
"CA0610004",2016,15.56
"CA0610004",2018,13.26
"CA0610004",2020,16.81
"CA0610004",2021,15.24
"CA0710001",1990,4.02
"CA0710001",1992,6.54
"CA0710001",1994,6.18
"CA0710001",1996,4.98
"CA0710001",1998,3.62
"CA0710001",2000,3.55
"CA0710001",2002,5.67
"CA0710001",2004,5.41
"CA0710001",2006,4.28
"CA0710001",2008,6.22
"CA0710001",2010,10.97
"CA0710001",2012,8.94
"CA0710001",2014,6.17
"CA0710001",2016,4.47
"CA0710001",2018,3.23
"CA0710001",2020,8.5
"CA0710001",2021,6.95
"CA0710002",1990,4.02
"CA0710002",1992,6.54
"CA0710002",1994,6.18
"CA0710002",1996,4.98
"CA0710002",1998,3.62
"CA0710002",2000,3.55
"CA0710002",2002,5.67
"CA0710002",2004,5.41
"CA0710002",2006,4.28
"CA0710002",2008,6.22
"CA0710002",2010,10.97
"CA0710002",2012,8.94
"CA0710002",2014,6.17
"CA0710002",2016,4.47
"CA0710002",2018,3.23
"CA0710002",2020,8.5
"CA0710002",2021,6.95
"CA0710003",1990,4.14
"CA0710003",1992,6.65
"CA0710003",1994,6.34
"CA0710003",1996,5.38
"CA0710003",1998,4.15
"CA0710003",2000,3.73
"CA0710003",2002,6.19
"CA0710003",2004,5.69
"CA0710003",2006,4.44
"CA0710003",2008,6.31
"CA0710003",2010,11.15
"CA0710003",2012,9.04
"CA0710003",2014,6.16
"CA0710003",2016,4.51
"CA0710003",2018,3.24
"CA0710003",2020,8.57
"CA0710003",2021,6.92
"CA0710004",1990,4.02
"CA0710004",1992,6.54
"CA0710004",1994,6.18
"CA0710004",1996,4.98
"CA0710004",1998,3.62
"CA0710004",2000,3.55
"CA0710004",2002,5.67
"CA0710004",2004,5.41
"CA0710004",2006,4.28
"CA0710004",2008,6.22
"CA0710004",2010,10.97
"CA0710004",2012,8.94
"CA0710004",2014,6.17
"CA0710004",2016,4.47
"CA0710004",2018,3.23
"CA0710004",2020,8.5
"CA0710004",2021,6.95
"CA0710006",1990,4.23
"CA0710006",1992,6.77
"CA0710006",1994,6.58
"CA0710006",1996,5.73
"CA0710006",1998,4.16
"CA0710006",2000,3.86
"CA0710006",2002,5.69
"CA0710006",2004,5.53
"CA0710006",2006,4.45
"CA0710006",2008,6.41
"CA0710006",2010,11.41
"CA0710006",2012,9.42
"CA0710006",2014,6.54
"CA0710006",2016,4.75
"CA0710006",2018,3.43
"CA0710006",2020,8.72
"CA0710006",2021,7.23
"CA0710007",1990,4.02
"CA0710007",1992,6.54
"CA0710007",1994,6.18
"CA0710007",1996,4.98
"CA0710007",1998,3.62
"CA0710007",2000,3.55
"CA0710007",2002,5.67
"CA0710007",2004,5.41
"CA0710007",2006,4.28
"CA0710007",2008,6.22
"CA0710007",2010,10.97
"CA0710007",2012,8.94
"CA0710007",2014,6.17
"CA0710007",2016,4.47
"CA0710007",2018,3.23
"CA0710007",2020,8.5
"CA0710007",2021,6.95
"CA0710009",1990,4.02
"CA0710009",1992,6.54
"CA0710009",1994,6.18
"CA0710009",1996,4.98
"CA0710009",1998,3.62
"CA0710009",2000,3.55
"CA0710009",2002,5.67
"CA0710009",2004,5.41
"CA0710009",2006,4.28
"CA0710009",2008,6.22
"CA0710009",2010,10.97
"CA0710009",2012,8.94
"CA0710009",2014,6.17
"CA0710009",2016,4.47
"CA0710009",2018,3.23
"CA0710009",2020,8.5
"CA0710009",2021,6.95
"CA0810001",1990,12.05
"CA0810001",1992,15.39
"CA0810001",1994,12.05
"CA0810001",1996,10.37
"CA0810001",1998,10.32
"CA0810001",2000,7.43
"CA0810001",2002,8.66
"CA0810001",2004,8.04
"CA0810001",2006,6.86
"CA0810001",2008,8.83
"CA0810001",2010,13.19
"CA0810001",2012,13.53
"CA0810001",2014,10.07
"CA0810001",2016,7.53
"CA0810001",2018,5.75
"CA0810001",2020,8.83
"CA0810001",2021,8.47
"CA0910002",1990,4.5
"CA0910002",1992,8.51
"CA0910002",1994,7.19
"CA0910002",1996,6.37
"CA0910002",1998,5
"CA0910002",2000,4.16
"CA0910002",2002,5.21
"CA0910002",2004,5.27
"CA0910002",2006,4.62
"CA0910002",2008,7.02
"CA0910002",2010,12.21
"CA0910002",2012,10.22
"CA0910002",2014,6.98
"CA0910002",2016,5.14
"CA0910002",2018,3.66
"CA0910002",2020,7.17
"CA0910002",2021,6.45
"CA0910003",1990,4.47
"CA0910003",1992,8.47
"CA0910003",1994,7.17
"CA0910003",1996,6.34
"CA0910003",1998,4.97
"CA0910003",2000,4.15
"CA0910003",2002,5.19
"CA0910003",2004,5.25
"CA0910003",2006,4.61
"CA0910003",2008,7
"CA0910003",2010,12.21
"CA0910003",2012,10.21
"CA0910003",2014,6.97
"CA0910003",2016,5.14
"CA0910003",2018,3.65
"CA0910003",2020,7.16
"CA0910003",2021,6.45
"CA0910006",1990,4.47
"CA0910006",1992,8.47
"CA0910006",1994,7.17
"CA0910006",1996,6.34
"CA0910006",1998,4.97
"CA0910006",2000,4.15
"CA0910006",2002,5.19
"CA0910006",2004,5.25
"CA0910006",2006,4.61
"CA0910006",2008,7
"CA0910006",2010,12.21
"CA0910006",2012,10.21
"CA0910006",2014,6.97
"CA0910006",2016,5.14
"CA0910006",2018,3.65
"CA0910006",2020,7.16
"CA0910006",2021,6.45
"CA0910013",1990,4.32
"CA0910013",1992,8.44
"CA0910013",1994,6.85
"CA0910013",1996,5.79
"CA0910013",1998,4.45
"CA0910013",2000,3.81
"CA0910013",2002,5.01
"CA0910013",2004,4.94
"CA0910013",2006,4.32
"CA0910013",2008,6.66
"CA0910013",2010,11.81
"CA0910013",2012,9.65
"CA0910013",2014,6.5
"CA0910013",2016,4.7
"CA0910013",2018,3.36
"CA0910013",2020,6.81
"CA0910013",2021,5.87
"CA1010001",1990,11.64
"CA1010001",1992,15.47
"CA1010001",1994,14.25
"CA1010001",1996,13.28
"CA1010001",1998,14.25
"CA1010001",2000,10.43
"CA1010001",2002,11.45
"CA1010001",2004,10.41
"CA1010001",2006,8.02
"CA1010001",2008,10.56
"CA1010001",2010,16.69
"CA1010001",2012,15.13
"CA1010001",2014,11.58
"CA1010001",2016,9.5
"CA1010001",2018,7.6
"CA1010001",2020,10.28
"CA1010001",2021,9.98
"CA1010003",1990,11.64
"CA1010003",1992,15.47
"CA1010003",1994,14.25
"CA1010003",1996,13.28
"CA1010003",1998,14.25
"CA1010003",2000,10.43
"CA1010003",2002,11.45
"CA1010003",2004,10.41
"CA1010003",2006,8.02
"CA1010003",2008,10.56
"CA1010003",2010,16.69
"CA1010003",2012,15.13
"CA1010003",2014,11.58
"CA1010003",2016,9.5
"CA1010003",2018,7.6
"CA1010003",2020,10.28
"CA1010003",2021,9.98
"CA1010004",1990,11.64
"CA1010004",1992,15.47
"CA1010004",1994,14.25
"CA1010004",1996,13.28
"CA1010004",1998,14.25
"CA1010004",2000,10.43
"CA1010004",2002,11.45
"CA1010004",2004,10.41
"CA1010004",2006,8.02
"CA1010004",2008,10.56
"CA1010004",2010,16.69
"CA1010004",2012,15.13
"CA1010004",2014,11.58
"CA1010004",2016,9.5
"CA1010004",2018,7.6
"CA1010004",2020,10.28
"CA1010004",2021,9.98
"CA1010005",1990,11.64
"CA1010005",1992,15.47
"CA1010005",1994,14.25
"CA1010005",1996,13.28
"CA1010005",1998,14.25
"CA1010005",2000,10.43
"CA1010005",2002,11.45
"CA1010005",2004,10.41
"CA1010005",2006,8.02
"CA1010005",2008,10.56
"CA1010005",2010,16.69
"CA1010005",2012,15.13
"CA1010005",2014,11.58
"CA1010005",2016,9.5
"CA1010005",2018,7.6
"CA1010005",2020,10.28
"CA1010005",2021,9.98
"CA1010007",1990,11.85
"CA1010007",1992,15.61
"CA1010007",1994,14.37
"CA1010007",1996,13.39
"CA1010007",1998,14.07
"CA1010007",2000,10.21
"CA1010007",2002,11.34
"CA1010007",2004,10.24
"CA1010007",2006,7.88
"CA1010007",2008,10.41
"CA1010007",2010,16.68
"CA1010007",2012,15.04
"CA1010007",2014,11.53
"CA1010007",2016,9.47
"CA1010007",2018,7.54
"CA1010007",2020,10.21
"CA1010007",2021,9.94
"CA1010018",1990,11.64
"CA1010018",1992,15.47
"CA1010018",1994,14.25
"CA1010018",1996,13.28
"CA1010018",1998,14.25
"CA1010018",2000,10.43
"CA1010018",2002,11.45
"CA1010018",2004,10.41
"CA1010018",2006,8.02
"CA1010018",2008,10.56
"CA1010018",2010,16.69
"CA1010018",2012,15.13
"CA1010018",2014,11.58
"CA1010018",2016,9.5
"CA1010018",2018,7.6
"CA1010018",2020,10.28
"CA1010018",2021,9.98
"CA1010019",1990,11.64
"CA1010019",1992,15.47
"CA1010019",1994,14.25
"CA1010019",1996,13.28
"CA1010019",1998,14.25
"CA1010019",2000,10.43
"CA1010019",2002,11.45
"CA1010019",2004,10.41
"CA1010019",2006,8.02
"CA1010019",2008,10.56
"CA1010019",2010,16.69
"CA1010019",2012,15.13
"CA1010019",2014,11.58
"CA1010019",2016,9.5
"CA1010019",2018,7.6
"CA1010019",2020,10.28
"CA1010019",2021,9.98
"CA1010024",1990,11.64
"CA1010024",1992,15.47
"CA1010024",1994,14.25
"CA1010024",1996,13.28
"CA1010024",1998,14.25
"CA1010024",2000,10.43
"CA1010024",2002,11.45
"CA1010024",2004,10.41
"CA1010024",2006,8.02
"CA1010024",2008,10.56
"CA1010024",2010,16.69
"CA1010024",2012,15.13
"CA1010024",2014,11.58
"CA1010024",2016,9.5
"CA1010024",2018,7.6
"CA1010024",2020,10.28
"CA1010024",2021,9.98
"CA1010025",1990,11.64
"CA1010025",1992,15.47
"CA1010025",1994,14.25
"CA1010025",1996,13.28
"CA1010025",1998,14.25
"CA1010025",2000,10.43
"CA1010025",2002,11.45
"CA1010025",2004,10.41
"CA1010025",2006,8.02
"CA1010025",2008,10.56
"CA1010025",2010,16.69
"CA1010025",2012,15.13
"CA1010025",2014,11.58
"CA1010025",2016,9.5
"CA1010025",2018,7.6
"CA1010025",2020,10.28
"CA1010025",2021,9.98
"CA1010029",1990,11.64
"CA1010029",1992,15.47
"CA1010029",1994,14.25
"CA1010029",1996,13.28
"CA1010029",1998,14.25
"CA1010029",2000,10.43
"CA1010029",2002,11.45
"CA1010029",2004,10.41
"CA1010029",2006,8.02
"CA1010029",2008,10.56
"CA1010029",2010,16.69
"CA1010029",2012,15.13
"CA1010029",2014,11.58
"CA1010029",2016,9.5
"CA1010029",2018,7.6
"CA1010029",2020,10.28
"CA1010029",2021,9.98
"CA1010035",1990,11.64
"CA1010035",1992,15.47
"CA1010035",1994,14.25
"CA1010035",1996,13.28
"CA1010035",1998,14.25
"CA1010035",2000,10.43
"CA1010035",2002,11.45
"CA1010035",2004,10.41
"CA1010035",2006,8.02
"CA1010035",2008,10.56
"CA1010035",2010,16.69
"CA1010035",2012,15.13
